ID,Amount,Date,Comment
100001,101.11,06/20/2016,Tally savings
100002,2.71,06/20/2016,Tally savings
100003,0.29,06/20/2016,Tally savings
100005,0.99,06/20/2016,Tally savings
100028,5.25,06/20/2016,Tally savings
100030,4.77,06/20/2016,Tally savings
100032,5.05,06/20/2016,Tally savings
100033,2.57,06/20/2016,Tally savings
100035,4.41,06/20/2016,Tally savings
100039,4.96,06/20/2016,Tally savings
