ID,Amount,Date,Comment
100001,101.64,06/23/2016,Tally savings
100002,2.75,06/23/2016,Tally savings
100005,0.32,06/23/2016,Tally savings
100028,4.51,06/23/2016,Tally savings
100030,4.53,06/23/2016,Tally savings
100032,4.33,06/23/2016,Tally savings
100033,2.97,06/23/2016,Tally savings
100035,4.21,06/23/2016,Tally savings
100039,5.92,06/23/2016,Tally savings
100042,0.31,06/23/2016,Tally savings
