ID,Amount,Date,Comment
100001,114.81,06/09/2016,Tally savings
100002,3.14,06/09/2016,Tally savings
100003,0.05,06/09/2016,Tally savings
100005,0.38,06/09/2016,Tally savings
100028,7.4,06/09/2016,Tally savings
100030,6.79,06/09/2016,Tally savings
100032,7.77,06/09/2016,Tally savings
100033,7.16,06/09/2016,Tally savings
100035,7.65,06/09/2016,Tally savings
100039,7.45,06/09/2016,Tally savings
